Cust_ID,RM,ACCT_BAL,ACCT_BAL_FY_START
0,4,2786773,2858858
1,50,2644716,105297
2,1,2413518,4150547
3,1,244514,2705009
4,38,2932248,3772593
5,6,1937261,713906
6,22,3529701,2646697
7,7,2230747,3684494
8,46,525522,2125390
9,18,504687,4781606
10,19,3032854,1282441
11,25,694426,1727679
12,14,80136,2446872
13,45,3175373,1540714
14,18,2114628,3445637
15,1,1410624,3272704
16,11,1592418,3361508
17,6,2533143,3060123
18,42,2840686,1666700
19,21,1480312,1973690
20,48,3493435,740331
21,35,1078350,4337740
22,6,338792,3478054
23,49,3991952,4681828
24,45,2437569,1467776
25,38,216093,1517593
26,49,2608226,3634018
27,46,1270725,5178594
28,23,774094,868231
29,46,2884840,3731350
30,27,3675644,2534870
31,5,2441691,5353007
32,46,3277825,2844205
33,41,1769666,1754853
34,26,1519496,4832651
35,16,1823493,4001522
36,6,2156941,3126125
37,34,2910728,1280629
38,41,3814798,2639100
39,18,2361904,2834277
40,9,1974711,3506577
41,49,1493882,4643814
42,12,1168059,2630616
43,37,1658146,369676
44,48,451211,44503
45,17,3855960,4348920
46,31,3054453,5019598
47,40,2443701,4141037
48,3,2837344,303293
49,15,4340217,689032
50,30,638893,4650818
51,45,2789085,520227
52,17,1028547,1872572
53,34,2123681,3532137
54,10,3815485,1344950
55,40,2333894,4721766
56,41,3981715,4476676
57,17,3987292,2172713
58,29,2445790,4993775
59,31,3380967,592029
60,19,2189725,310690
61,48,601087,2462155
62,19,4137320,1550327
63,17,876579,2236880
64,46,375060,4846197
65,43,2063753,3500999
66,19,1843054,2432464
67,49,2731874,5347526
68,33,2755134,1971678
69,17,1962303,2050989
70,2,561662,3887821
71,38,1790954,1270448
72,36,99349,831036
73,38,2390355,1814220
74,26,331415,2557163
75,20,3757875,4699615
76,44,3549605,2854658
77,8,1296307,5083894
78,30,175421,4869549
79,1,1292621,4272846
80,31,970680,3165321
81,38,1711826,984199
82,39,4187523,5311109
83,1,1186723,440865
84,14,4064980,1397849
85,10,3515959,603964
