Cust_ID,Location_Type,Investment_risk_tol,Avg_mon_expense,Investment_needs,BAnking_Needs,Pref_channel,Lifestyle,Net_Worth,Persona,Biz_Type,Biz_Size,Biz_Age,Turnover,Credit_Score
0,Urban,High,207673.119166667,Short-term gains,Fixed Deposits,Branch,Budget,156669744,Students,Government,,,,337
1,Tier 2 city,Medium,137827.069166667,Tax savings,Savings Account,Relationship Manager,Semi-Luxury,418092086,Senior Citizens,,,,,672
2,Semi-urban,Medium,209975.78,Capital preservation,Car Loans,Branch,Luxury,33622830,Housewives,Transportation,,,,743
3,Metro,High,7305.785,Wealth accumulation,Fixed Deposits,Phone Banking,Luxury,197840591,Small Business Owners,Agriculture,10.0,16.0,32095814.0,470
4,Tier 3 city,Medium,149493.516666667,Retirement planning,Education Loans,ATM,Frugal,130598093,High Net Worth Individuals (HNIs),Construction,8.0,12.0,11549348.0,812
5,Coastal,High,63897.3758333333,Retirement planning,Education Loans,Internet Banking,Budget,340806398,Salaried Employees,Other,,,,806
6,Tier 1 city,Medium,60624.8,Retirement planning,Savings Account,Phone Banking,Budget,173008068,Salaried Employees,Food and Beverage,,,,605
7,Coastal,High,140673.808333333,Stable returns,Savings Account,Internet Banking,Luxury,478647934,High Net Worth Individuals (HNIs),Non-Profit,1.0,14.0,135322677.0,595
8,Metro,Medium,23364.2383333333,Long-term growth,Car Loans,Relationship Manager,Semi-Luxury,283376073,Self-Employed Professionals,Retail,14.0,19.0,146286951.0,870
9,Tier 2 city,Low,58613.4358333333,Short-term gains,Recurring Deposits,Internet Banking,Luxury,392338756,Students,E-commerce,,,,415
10,Tier 3 city,Medium,151904.791666667,Tax savings,Recurring Deposits,Phone Banking,Luxury,9363671,Young Professionals,Automotive,,,,518
11,Tier 2 city,Medium,0.0,Short-term gains,Current Account,Mobile Banking,Luxury,373509370,Self-Employed Professionals,Finance,21.0,1.0,96350320.0,750
12,Tier 1 city,Medium,28359.45,Long-term growth,Current Account,Internet Banking,Middle-class,454472912,Students,Consulting,,,,620
13,Coastal,Medium,93331.5833333333,Capital preservation,Current Account,Internet Banking,Semi-Luxury,418822877,High Net Worth Individuals (HNIs),Transportation,5.0,3.0,36609971.0,403
14,Suburban,Low,56091.9625,Stable returns,Credit Card,Relationship Manager,Minimalist,440394446,Small Business Owners,Food and Beverage,0.0,13.0,56279062.0,545
15,Metro,High,93570.805,Tax savings,Savings Account,Relationship Manager,Minimalist,229240924,High Net Worth Individuals (HNIs),Telecommunications,1.0,13.0,17626079.0,457
16,Coastal,Low,16623.8325,Capital preservation,Savings Account,ATM,Middle-class,355369198,Small Business Owners,Sports and Fitness,21.0,12.0,115060795.0,406
17,Hill station,Low,66077.1408333333,Tax savings,Education Loans,Relationship Manager,Frugal,257386268,Salaried Employees,Transportation,,,,682
18,Rural,Medium,41966.6633333333,Retirement planning,Personal Loans,Phone Banking,Minimalist,405859628,High Net Worth Individuals (HNIs),Sports and Fitness,25.0,16.0,133554786.0,643
19,Suburban,Low,4815.335,Short-term gains,Fixed Deposits,Relationship Manager,Minimalist,188012567,Housewives,Sports and Fitness,,,,737
20,Tier 1 city,Medium,24176.88,Stable returns,Personal Loans,Mobile Banking,Semi-Luxury,343262135,Salaried Employees,Transportation,,,,665
21,Urban,Low,27937.26,Retirement planning,Recurring Deposits,Internet Banking,Middle-class,138071503,Self-Employed Professionals,E-commerce,3.0,11.0,46952533.0,494
22,Urban,Medium,109188.794166667,Stable returns,Current Account,Mobile Banking,Frugal,81456960,Senior Citizens,Non-Profit,,,,847
23,Semi-urban,High,337158.0,Stable returns,Car Loans,Relationship Manager,Budget,302698328,Rural Customers,Automotive,4.0,7.0,15397925.0,464
24,Hill station,Low,42882.26,Capital preservation,Education Loans,Branch,Middle-class,144013140,Rural Customers,Education,19.0,6.0,79645729.0,495
25,Rural,Low,3314.6,Short-term gains,Savings Account,Mobile Banking,Semi-Luxury,222516150,Small Business Owners,Education,21.0,9.0,45855947.0,761
26,Tier 2 city,Low,60785.4333333333,Wealth accumulation,Car Loans,ATM,Semi-Luxury,267826799,Students,Education,,,,742
27,Semi-urban,High,136256.061666667,Capital preservation,Current Account,Internet Banking,Budget,236798411,Young Professionals,Hospitality,,,,791
28,Urban,Medium,51454.2166666667,Short-term gains,Recurring Deposits,Internet Banking,Minimalist,196631277,Students,Agriculture,,,,305
29,Coastal,Low,140151.763333333,Capital preservation,Savings Account,Internet Banking,Luxury,420502529,Students,Agriculture,,,,876
